num,ticker,entry_dt,exit_dt,entry_price,exit_price,shares,pnl,pnl_pct,reason,tp_hit,hold_bars,capital_after
1,ROSN,2022-01-12 14:00,2022-01-13 10:00,629.06,621.05,52,-449.17,-1.37,SL,0,13,99550.83
2,GAZP,2022-01-27 17:00,2022-01-28 09:00,325.86,326.12,100,366.94,1.13,SL,1,9,79323.02
3,SBER,2022-01-27 17:00,2022-02-01 20:00,257.31,261.1,80,648.11,3.15,SL,2,54,100565.88
4,ROSN,2022-02-04 13:00,2022-02-04 14:00,596.06,585.27,55,-625.76,-1.91,SL,0,1,99940.12
5,MTLR,2022-02-10 13:00,2022-02-11 09:00,147.35,142.16,220,-1173.74,-3.62,SL,0,6,98766.38
6,NLMK,2022-02-15 17:00,2022-02-16 12:00,235.88,231.49,130,-600.95,-1.96,SL,0,12,77237.18
7,MTLR,2022-02-16 11:00,2022-02-16 12:00,160.91,155.7,130,-697.8,-3.33,SL,0,1,97467.63
8,MTLR,2022-04-11 13:00,2022-04-11 17:00,111.98,107.87,280,-1183.2,-3.77,SL,0,4,96284.43
9,GAZP,2022-04-27 11:00,2022-04-28 15:00,233.61,237.02,130,949.3,3.12,SL,2,14,97233.73
10,ROSN,2022-05-18 11:00,2022-05-20 11:00,401.54,394.81,54,-384.68,-1.77,SL,0,20,65751.6
11,GAZP,2022-05-17 17:00,2022-05-20 14:00,259.02,260.61,120,608.32,1.96,SL,2,27,97457.37
12,TGKA,2022-05-27 11:00,2022-05-30 11:00,0.01,0.01,3696000,-1173.57,-3.65,SL,0,10,96283.8
13,GAZP,2022-06-14 11:00,2022-06-15 10:00,315.75,316.0,100,326.94,1.03,SL,2,9,96610.74
14,LKOH,2022-06-16 11:00,2022-06-17 14:00,4195.42,4198.78,5,132.13,0.63,SL,1,13,64846.19
15,SBER,2022-06-20 18:00,2022-06-21 10:00,129.05,129.21,110,180.14,1.27,SL,2,2,43779.99
16,NVTK,2022-06-20 14:00,2022-06-21 13:00,923.29,990.81,23,704.87,3.32,TP3,3,9,65731.2
17,TGKA,2022-06-15 11:00,2022-06-28 17:00,0.01,0.01,3374000,1121.71,3.52,TIME,0,96,98749.59
18,T,2022-06-28 18:00,2022-06-29 10:00,1832.68,1857.46,17,927.29,2.97,SL,2,2,99676.88
19,T,2022-07-04 18:00,2022-07-05 10:00,1991.7,1993.29,16,355.09,1.11,SL,1,2,100031.97
20,NVTK,2022-07-27 11:00,2022-07-27 18:00,1035.5,1036.33,31,249.32,0.78,SL,1,7,81902.27
21,MGNT,2022-07-27 11:00,2022-07-29 12:00,4592.46,4811.32,4,390.65,2.13,TP3,3,21,100671.94
22,LKOH,2022-08-01 13:00,2022-08-01 15:00,4010.4,3936.29,8,-624.69,-1.95,SL,0,2,100047.25
23,ROSN,2022-08-16 16:00,2022-08-17 10:00,346.98,347.26,95,143.18,0.43,SL,1,4,100190.43
24,T,2022-08-17 11:00,2022-08-17 17:00,2518.75,2444.14,13,-1002.18,-3.06,SL,0,6,99188.26
25,T,2022-08-19 17:00,2022-08-22 11:00,2639.76,2877.88,12,1304.84,4.12,TP3,3,4,100493.1
26,NVTK,2022-08-23 09:00,2022-08-24 10:00,1153.12,1129.54,28,-692.06,-2.14,SL,0,11,77599.72
27,GAZP,2022-08-23 11:00,2022-08-24 16:00,184.92,182.64,120,-294.91,-1.33,SL,0,15,99506.12
28,TGKA,2022-08-26 11:00,2022-08-26 13:00,0.01,0.01,4082000,-482.9,-1.47,SL,0,2,99023.23
29,TGKA,2022-08-29 15:00,2022-08-29 16:00,0.01,0.01,3896000,-612.7,-1.87,SL,0,1,98410.53
30,GAZP,2022-08-30 09:00,2022-08-30 10:00,190.47,190.62,170,133.89,0.41,SL,1,1,98544.42
31,GAZP,2022-08-30 11:00,2022-08-30 14:00,194.11,194.26,160,138.24,0.44,SL,1,3,77021.87
32,MTLR,2022-08-30 11:00,2022-08-30 16:00,127.35,125.63,170,-314.39,-1.45,SL,0,5,72983.54
33,GAZP,2022-08-30 15:00,2022-08-31 09:00,195.17,204.9,130,565.95,2.23,TP3,3,4,98934.21
34,TGKA,2022-08-31 16:00,2022-08-31 17:00,0.01,0.01,3600000,-937.44,-2.87,SL,0,1,97996.77
35,LKOH,2022-09-01 18:00,2022-09-05 10:00,4637.46,4531.92,6,-660.79,-2.37,SL,0,12,74362.2
36,SBER,2022-09-02 14:00,2022-09-05 10:00,143.51,140.43,160,-515.95,-2.25,SL,0,6,96820.03
37,MTLR,2022-09-05 16:00,2022-09-06 10:00,131.64,131.75,160,116.83,0.55,SL,1,4,51260.06
38,NLMK,2022-09-06 09:00,2022-09-06 11:00,125.81,123.95,110,-218.71,-1.58,SL,0,2,64887.66
39,NVTK,2022-09-05 12:00,2022-09-06 14:00,1178.32,1180.54,27,433.78,1.36,SL,2,12,97151.93
40,MGNT,2022-09-12 11:00,2022-09-14 09:00,5572.56,5577.44,5,116.6,0.42,SL,1,28,76231.41
41,T,2022-09-13 11:00,2022-09-14 10:00,3003.8,2938.32,7,-479.14,-2.28,SL,0,14,96789.39
42,NVTK,2022-09-15 16:00,2022-09-16 15:00,1193.12,1178.45,26,-412.28,-1.33,SL,0,14,96377.11
43,GAZP,2022-09-22 16:00,2022-09-23 10:00,235.19,226.95,130,-1101.49,-3.6,SL,0,9,95275.61
44,LKOH,2022-10-12 11:00,2022-10-12 16:00,4195.42,4198.78,7,199.4,0.68,SL,1,5,95475.02
45,MGNT,2022-10-17 12:00,2022-10-18 22:00,4917.99,4921.93,6,305.43,1.03,SL,2,25,74886.92
46,SBER,2022-10-17 13:00,2022-10-19 10:00,109.91,110.0,190,223.43,1.07,SL,2,27,96003.88
47,NLMK,2022-10-20 16:00,2022-10-21 13:00,87.65,92.71,360,820.31,2.6,TP3,3,12,79275.67
48,LKOH,2022-10-20 18:00,2022-10-24 14:00,4384.94,4388.45,4,130.44,0.74,SL,1,26,55698.4
49,NLMK,2022-10-21 14:00,2022-10-24 14:00,91.61,92.09,280,470.72,1.83,SL,2,15,81832.51
50,ROSN,2022-10-25 18:00,2022-10-26 14:00,326.63,326.89,82,302.8,1.13,SL,2,11,82135.31
51,MGNT,2022-10-24 11:00,2022-10-26 15:00,5195.02,5199.17,3,185.78,1.19,SL,2,34,97913.95
52,T,2022-10-31 14:00,2022-11-01 12:00,2561.26,2563.3,12,324.63,1.06,SL,2,13,98238.58
53,NVTK,2022-11-07 12:00,2022-11-08 10:00,1131.11,1132.02,28,131.32,0.41,SL,1,13,62590.99
54,NLMK,2022-11-07 14:00,2022-11-09 10:00,106.93,107.22,130,204.94,1.47,SL,2,26,76703.87
55,ROSN,2022-11-07 13:00,2022-11-09 19:00,346.98,347.26,63,226.33,1.03,SL,2,36,98801.17
56,ROSN,2022-11-11 11:00,2022-11-11 12:00,360.44,355.86,90,-444.45,-1.37,SL,0,1,98356.72
57,MTLR,2022-11-15 18:00,2022-11-16 10:00,106.08,103.96,300,-667.05,-2.1,SL,0,2,97689.66
58,SBER,2022-12-05 11:00,2022-12-06 10:00,141.26,141.38,220,128.85,0.41,SL,1,14,75866.15
59,ROSN,2022-12-05 14:00,2022-12-06 10:00,342.83,338.62,64,-291.61,-1.33,SL,0,11,97526.91
60,MTLR,2022-12-06 14:00,2022-12-07 10:00,101.91,100.66,310,-419.87,-1.33,SL,0,6,97107.04
61,NLMK,2022-12-09 11:00,2022-12-09 12:00,108.39,107.08,290,-412.03,-1.31,SL,0,1,96695.01
62,NLMK,2022-12-19 17:00,2022-12-20 10:00,111.23,111.32,280,322.41,1.03,SL,2,8,97017.42
63,GAZP,2022-12-23 18:00,2022-12-26 10:00,161.55,161.68,190,127.28,0.41,SL,1,7,97144.7
64,SBER,2022-12-26 13:00,2022-12-27 10:00,140.44,140.56,220,128.11,0.41,SL,1,12,79542.18
65,MGNT,2022-12-26 19:00,2022-12-27 13:00,4430.44,4433.99,4,73.6,0.42,SL,1,9,97346.41
66,T,2022-12-27 17:00,2022-12-28 14:00,2628.26,2595.94,8,-279.44,-1.33,SL,0,12,65935.8
67,GAZP,2022-12-27 13:00,2022-12-29 10:00,163.77,161.75,190,-413.53,-1.33,SL,0,27,96653.43
68,NLMK,2022-12-30 15:00,2022-12-30 23:00,117.05,117.15,180,87.38,0.41,SL,1,8,65002.18
69,ROSN,2022-12-29 17:00,2023-01-09 23:00,360.49,367.76,88,451.34,1.42,TIME,2,96,62640.43
70,T,2023-01-09 18:00,2023-01-10 10:00,2619.76,2587.55,5,-174.09,-1.33,SL,0,7,75571.7
71,SBER,2023-01-09 11:00,2023-01-11 10:00,142.9,143.02,150,88.87,0.41,SL,1,29,97106.93
72,GAZP,2023-01-11 18:00,2023-01-12 19:00,165.8,163.76,190,-418.66,-1.33,SL,0,16,96688.27
73,T,2023-01-13 17:00,2023-01-16 15:00,2722.77,2724.95,11,124.19,0.41,SL,1,13,60956.95
74,NLMK,2023-01-16 13:00,2023-01-17 11:00,113.81,112.41,130,-196.64,-1.33,SL,0,13,75563.2
75,NVTK,2023-01-16 12:00,2023-01-17 19:00,1052.11,1039.17,20,-279.65,-1.33,SL,0,22,96336.17
76,SBER,2023-01-23 11:00,2023-01-24 13:00,153.37,153.49,200,127.18,0.41,SL,1,17,74796.12
77,MTLR,2023-01-27 11:00,2023-01-27 15:00,114.83,112.93,210,-423.56,-1.76,SL,0,4,74372.55
78,NLMK,2023-01-30 17:00,2023-01-31 10:00,114.91,115.0,210,100.04,0.41,SL,1,8,74472.59
79,NLMK,2023-02-01 12:00,2023-02-01 15:00,118.49,118.59,130,63.87,0.41,SL,1,3,50136.88
80,ROSN,2023-02-01 11:00,2023-02-03 12:00,343.48,339.21,71,-327.62,-1.34,SL,0,31,58417.37
81,GAZP,2023-02-03 16:00,2023-02-06 10:00,161.47,159.54,110,-229.09,-1.29,SL,0,9,58188.29
82,SBER,2023-02-06 11:00,2023-02-06 12:00,163.24,163.37,110,74.43,0.41,SL,1,1,58262.72
83,TGKA,2023-01-23 17:00,2023-02-06 13:00,0.01,0.01,2748000,281.61,1.3,TIME,0,96,62188.25
84,SBER,2023-02-06 12:00,2023-02-07 13:00,163.77,163.9,110,186.53,1.03,SL,2,16,59980.7
85,MTLR,2023-02-02 15:00,2023-02-08 12:00,121.41,128.61,130,421.58,2.67,TP3,3,37,76193.74
86,TGKA,2023-02-10 14:00,2023-02-13 16:00,0.01,0.01,2976000,-667.92,-2.66,SL,0,12,75525.82
87,ROSN,2023-02-06 18:00,2023-02-14 10:00,345.88,346.16,59,211.26,1.03,SL,2,82,96154.47
88,T,2023-02-24 18:00,2023-02-27 09:00,2646.76,2599.96,11,-543.72,-1.87,SL,0,6,95610.75
89,SBER,2023-02-27 18:00,2023-02-28 10:00,169.74,169.87,120,84.46,0.41,SL,1,7,64246.35
90,LKOH,2023-02-28 14:00,2023-02-28 18:00,3964.9,3968.07,5,82.21,0.41,SL,1,4,64328.56
91,MTLR,2023-02-27 14:00,2023-03-01 18:00,125.73,125.96,250,424.34,1.35,SL,2,24,75358.06
92,GAZP,2023-03-01 11:00,2023-03-02 13:00,160.26,160.38,130,215.67,1.03,SL,2,17,96417.43
93,ROSN,2023-03-06 11:00,2023-03-10 10:00,362.24,362.53,87,130.67,0.41,SL,1,44,61505.44
94,MTLR,2023-03-09 17:00,2023-03-10 11:00,136.19,136.3,100,67.4,0.49,SL,1,9,75199.01
95,MTLR,2023-03-10 19:00,2023-03-13 10:00,141.72,141.84,170,115.17,0.48,SL,1,6,75314.18
96,MTLR,2023-03-13 11:00,2023-03-13 12:00,143.9,141.78,170,-385.27,-1.57,SL,0,1,74928.91
97,TGKA,2023-03-06 14:00,2023-03-16 15:00,0.01,0.01,2647000,-289.71,-1.35,SL,0,71,96055.68
98,LKOH,2023-03-17 12:00,2023-03-20 10:00,4120.91,4124.21,7,119.59,0.41,SL,1,13,59941.44
99,NVTK,2023-03-17 17:00,2023-03-20 10:00,1078.51,1065.64,14,-195.14,-1.29,SL,0,8,74852.96
100,SBER,2023-03-17 15:00,2023-03-21 15:00,191.97,207.27,110,765.87,3.63,TP3,3,30,59586.67
101,ROSN,2023-03-20 11:00,2023-03-21 17:00,368.19,383.6,67,457.8,1.85,TP3,3,21,84725.32
102,LKOH,2023-03-20 11:00,2023-03-23 16:00,4157.42,4160.74,3,129.08,1.03,SL,2,50,97332.88
103,TGKA,2023-03-24 11:00,2023-03-24 17:00,0.01,0.01,3816000,-472.07,-1.47,SL,0,6,96860.81
104,SBER,2023-03-27 12:00,2023-03-28 10:00,205.6,214.21,100,381.72,1.86,TP3,3,13,51622.13
105,NVTK,2023-03-27 13:00,2023-03-28 10:00,1157.72,1158.64,12,57.6,0.41,SL,1,12,65579.26
106,MTLR,2023-03-28 16:00,2023-03-29 12:00,146.55,152.93,140,396.17,1.93,TP3,3,11,65975.43
107,ROSN,2023-03-27 11:00,2023-03-29 13:00,381.99,382.29,83,131.4,0.41,SL,1,32,97827.7
108,NLMK,2023-03-29 14:00,2023-03-30 14:00,132.51,130.85,240,-431.98,-1.36,SL,0,15,97395.72
109,TGKA,2023-03-30 15:00,2023-03-31 11:00,0.01,0.01,3553000,-702.65,-2.19,SL,0,6,96693.07
110,MGNT,2023-03-31 11:00,2023-03-31 18:00,4645.96,4589.33,6,-367.51,-1.32,SL,0,7,96325.56
111,NLMK,2023-04-03 19:00,2023-04-03 20:00,133.65,132.27,230,-349.5,-1.14,SL,0,1,95976.06
112,NVTK,2023-04-04 15:00,2023-04-04 16:00,1208.12,1193.27,26,-417.46,-1.33,SL,0,1,95558.59
113,T,2023-04-07 15:00,2023-04-07 17:00,2549.75,2551.79,12,126.87,0.41,SL,1,2,95685.46
114,T,2023-04-07 17:00,2023-04-10 10:00,2578.26,2686.31,12,574.66,1.86,TP3,3,8,96260.12
115,MTLR,2023-04-10 11:00,2023-04-11 11:00,158.42,165.42,200,622.76,1.96,TP3,3,15,62640.54
116,NVTK,2023-04-10 11:00,2023-04-11 16:00,1243.72,1228.83,17,-274.29,-1.3,SL,0,20,63973.52
117,SBER,2023-04-10 11:00,2023-04-11 16:00,218.03,218.21,60,135.41,1.03,SL,2,20,77197.38
118,GAZP,2023-04-11 11:00,2023-04-11 16:00,177.61,177.75,110,202.25,1.03,SL,2,5,96946.25
119,MTLR,2023-04-13 11:00,2023-04-13 17:00,179.71,175.8,170,-695.19,-2.27,SL,0,6,96251.06
120,NVTK,2023-04-14 11:00,2023-04-14 14:00,1278.13,1279.15,24,127.21,0.41,SL,1,3,96378.27
121,NLMK,2023-04-14 19:00,2023-04-18 17:00,131.35,136.86,160,390.7,1.86,TP3,3,28,52251.08
122,SBER,2023-04-17 11:00,2023-04-19 10:00,224.82,234.24,60,250.44,1.86,TP3,3,29,50296.99
123,MTLR,2023-04-18 17:00,2023-04-19 10:00,196.16,197.99,80,376.37,2.4,SL,2,8,66373.98
124,NLMK,2023-04-19 11:00,2023-04-19 13:00,139.43,139.55,150,89.0,0.43,SL,1,2,52019.62
125,NVTK,2023-04-14 15:00,2023-04-19 15:00,1291.93,1292.96,24,320.98,1.03,SL,2,45,83362.4
126,MTLR,2023-04-19 11:00,2023-04-19 15:00,206.23,200.46,70,-417.96,-2.89,SL,0,4,97387.79
127,T,2023-04-28 11:00,2023-04-28 13:00,2817.78,2782.64,5,-189.71,-1.35,SL,0,2,45775.84
128,GAZP,2023-04-27 19:00,2023-04-28 14:00,183.33,180.77,110,-301.68,-1.5,SL,0,10,65650.36
129,SBER,2023-04-27 14:00,2023-05-02 17:00,240.23,240.43,130,129.49,0.41,SL,1,33,97025.89
130,ROSN,2023-05-10 15:00,2023-05-11 10:00,392.19,392.5,81,131.72,0.41,SL,1,10,62708.55
131,MTLR,2023-05-10 16:00,2023-05-11 10:00,184.98,196.65,70,368.92,2.85,TP3,3,9,76032.44
132,T,2023-05-11 11:00,2023-05-11 13:00,2735.77,2701.15,6,-224.08,-1.36,SL,0,2,52475.97
133,MTLR,2023-05-11 11:00,2023-05-11 14:00,194.34,190.13,120,-527.84,-2.26,SL,0,3,75280.53
134,NVTK,2023-05-10 15:00,2023-05-11 21:00,1263.73,1264.74,17,89.09,0.41,SL,1,21,96863.71
135,GAZP,2023-05-15 20:00,2023-05-16 10:00,178.95,179.09,80,59.36,0.41,SL,1,5,45178.94
136,T,2023-05-15 12:00,2023-05-16 11:00,2713.77,2827.48,11,554.34,1.86,TP3,3,14,75599.69
137,ROSN,2023-05-15 15:00,2023-05-16 12:00,404.94,405.26,54,226.37,1.03,SL,2,12,97703.77
138,MGNT,2023-05-16 18:00,2023-05-17 11:00,4644.46,4586.86,6,-373.32,-1.34,SL,0,8,97330.46
139,ROSN,2023-05-22 19:00,2023-05-22 23:00,424.04,424.38,75,132.19,0.42,SL,1,4,97462.65
140,NVTK,2023-05-23 17:00,2023-05-24 10:00,1294.53,1295.56,24,128.87,0.41,SL,1,8,66027.59
141,T,2023-05-24 18:00,2023-05-24 19:00,3270.83,3208.09,6,-395.86,-2.02,SL,0,1,65631.72
142,SBER,2023-05-23 19:00,2023-05-24 23:00,236.12,246.01,90,394.39,1.85,TP3,3,19,87287.87
143,LKOH,2023-05-23 20:00,2023-05-29 10:00,5148.51,5364.24,2,191.22,1.86,TP3,3,50,52638.19
144,T,2023-05-29 12:00,2023-05-29 17:00,3286.83,3434.0,5,327.32,1.99,TP3,3,5,52965.52
145,SBER,2023-05-26 18:00,2023-05-30 09:00,249.22,249.42,70,72.34,0.41,SL,1,21,53387.07
146,T,2023-05-29 17:00,2023-05-30 09:00,3419.34,3366.17,5,-282.81,-1.65,SL,0,7,70209.52
147,NLMK,2023-05-25 17:00,2023-05-30 10:00,138.37,144.62,200,555.7,2.01,TP3,3,38,98453.82
148,NVTK,2023-06-02 15:00,2023-06-05 15:00,1338.53,1339.6,24,332.5,1.03,SL,2,15,77247.71
149,ROSN,2023-06-05 11:00,2023-06-05 15:00,468.0,462.14,46,-290.65,-1.35,SL,0,4,98495.67
150,T,2023-06-09 11:00,2023-06-09 12:00,3440.34,3397.99,9,-411.99,-1.33,SL,0,1,76341.15
151,GAZP,2023-06-09 11:00,2023-06-09 18:00,167.17,165.11,130,-288.82,-1.33,SL,0,7,97794.87
152,LKOH,2023-06-13 14:00,2023-06-14 12:00,5215.52,5219.69,6,129.77,0.41,SL,1,13,62376.11
153,NVTK,2023-06-13 15:00,2023-06-14 12:00,1380.74,1363.56,15,-278.22,-1.34,SL,0,12,82819.32
154,SBER,2023-06-14 11:00,2023-06-14 19:00,246.99,243.95,60,-197.55,-1.33,SL,0,8,97448.87
155,T,2023-06-15 11:00,2023-06-15 12:00,3640.36,3586.24,8,-461.93,-1.59,SL,0,1,96986.93
156,MTLR,2023-06-15 22:00,2023-06-16 10:00,181.19,181.33,110,84.09,0.42,SL,1,3,65656.58
157,NLMK,2023-06-15 16:00,2023-06-16 16:00,165.26,163.05,190,-449.99,-1.43,SL,0,15,96621.03
158,MGNT,2023-06-16 20:00,2023-06-19 10:00,4754.48,5033.59,6,754.28,2.64,TP3,3,5,97375.31
159,NLMK,2023-06-19 18:00,2023-06-20 10:00,172.38,172.52,180,174.33,0.56,SL,1,7,97549.64
160,NLMK,2023-06-20 11:00,2023-06-20 13:00,173.28,170.69,180,-496.42,-1.59,SL,0,2,97053.22
161,MTLR,2023-06-21 16:00,2023-06-22 10:00,183.44,183.59,170,137.11,0.44,SL,1,9,97190.32
162,GAZP,2023-06-29 11:00,2023-06-30 09:00,169.51,167.42,130,-292.86,-1.33,SL,0,13,67191.65
163,MGNT,2023-06-28 14:00,2023-07-03 10:00,4948.49,5229.1,6,757.24,2.55,TP3,3,41,76836.62
164,NLMK,2023-06-30 18:00,2023-07-03 10:00,173.4,173.54,120,95.48,0.46,SL,1,7,97750.19
165,MGNT,2023-07-03 17:00,2023-07-03 22:00,5332.53,5266.96,4,-283.48,-1.33,SL,0,5,65827.83
166,SBER,2023-07-03 16:00,2023-07-05 14:00,243.25,240.25,130,-421.56,-1.33,SL,0,28,76176.63
167,MTLR,2023-07-05 21:00,2023-07-06 13:00,187.57,187.74,130,300.24,1.23,SL,2,7,60209.52
168,NLMK,2023-07-06 11:00,2023-07-06 15:00,180.66,178.4,90,-219.64,-1.35,SL,0,4,76257.23
169,LKOH,2023-07-04 16:00,2023-07-07 12:00,5214.52,5432.97,4,387.26,1.86,TP3,3,41,97513.0
170,LKOH,2023-07-07 13:00,2023-07-10 12:00,5426.54,5430.88,5,112.5,0.41,SL,1,14,75383.07
171,T,2023-07-10 18:00,2023-07-11 10:00,3352.34,3355.02,5,69.5,0.41,SL,1,7,53743.55
172,SBER,2023-07-10 11:00,2023-07-11 11:00,247.01,247.21,90,92.18,0.41,SL,1,15,76078.17
173,T,2023-07-11 11:00,2023-07-12 14:00,3397.34,3400.06,7,98.61,0.41,SL,1,18,59148.56
174,NVTK,2023-07-12 16:00,2023-07-13 12:00,1445.94,1428.16,13,-249.82,-1.33,SL,0,11,58898.74
175,GAZP,2023-07-12 11:00,2023-07-13 13:00,170.2,168.11,100,-225.21,-1.32,SL,0,17,75701.75
176,MGNT,2023-07-10 15:00,2023-07-18 11:00,5424.54,5651.81,4,402.89,1.86,TP3,3,86,57000.58
177,MGNT,2023-07-18 12:00,2023-07-19 10:00,5678.57,5683.11,3,176.39,1.03,SL,2,13,57176.97
178,NLMK,2023-07-14 19:00,2023-07-20 11:00,190.02,190.18,130,255.95,1.04,SL,2,52,82147.74
179,NVTK,2023-07-17 16:00,2023-07-20 11:00,1462.75,1463.92,11,166.57,1.03,SL,2,40,98412.56
180,MGNT,2023-07-24 11:00,2023-07-24 16:00,5845.08,5760.46,5,-452.12,-1.55,SL,0,5,97960.44
181,NLMK,2023-07-25 18:00,2023-07-26 11:00,195.32,195.48,80,64.79,0.41,SL,1,8,47766.49
182,LKOH,2023-07-25 12:00,2023-07-26 13:00,5595.06,5599.53,5,116.01,0.41,SL,1,16,75871.78
183,MTLR,2023-07-26 15:00,2023-07-27 10:00,198.14,206.44,120,441.49,1.86,TP3,3,10,59798.97
184,LKOH,2023-07-28 15:00,2023-07-28 16:00,5735.57,5740.16,3,71.35,0.41,SL,1,1,59870.33
185,NVTK,2023-07-26 17:00,2023-07-31 11:00,1500.55,1501.75,11,68.43,0.41,SL,1,39,59114.66
186,SBER,2023-07-25 14:00,2023-07-31 12:00,247.31,257.68,90,413.25,1.86,TP3,3,58,62981.49
187,NLMK,2023-07-31 11:00,2023-07-31 18:00,208.96,209.13,90,77.98,0.41,SL,1,7,61383.06
188,SBER,2023-07-31 12:00,2023-07-31 23:00,256.03,266.75,80,380.26,1.86,TP3,3,11,64524.98
189,T,2023-07-31 18:00,2023-08-01 10:00,3544.35,3500.77,5,-235.53,-1.33,SL,0,7,82020.08
